,QAS,HBD,QAS_xf,conductivity,cathodic_slope,anodic_slope,cathodic_potential,anodic_potential,potential_window,solid
0,Choline Chloride,Ethylene Glycol,0.1,5.493,2.903,4.032,-1.556,1.133,2.689,False
1,Choline Chloride,Ethylene Glycol,0.2,5.672,3.355,2.399,-1.561,1.128,2.689,False
2,Choline Chloride,Ethylene Glycol,0.3,8.334,4.073,4.678,-1.648,1.127,2.775,False
3,Choline Chloride,Ethylene Glycol,0.35,7.23,4.042,4.23,-1.661,1.131,2.792,False
4,Choline Chloride,Ethylene Glycol,0.4,8.008,4.204,4.795,-1.67,1.145,2.815,False
5,Choline Chloride,Ethylene Glycol,0.45,4.267,3.308,3.556,-1.694,1.161,2.855,False
6,Choline Chloride,Ethylene Glycol,0.5,,,,,,,True
7,Choline Chloride,Ethylene Glycol,0.55,2.964,2.797,3.009,-1.714,1.166,2.881,False
8,Choline Chloride,Ethylene Glycol,0.6,,,,,,,True
9,Choline Chloride,Ethylene Glycol,0.7,,,,,,,True
10,Choline Chloride,Ethylene Glycol,0.8,,,,,,,True
11,Choline Chloride,Ethylene Glycol,0.9,,,,,,,True
12,Choline Chloride,Glycerol,0.1,0.468,0.603,0.678,-1.763,1.199,2.961,False
13,Choline Chloride,Glycerol,0.2,1.195,1.247,1.437,-1.785,1.171,2.956,False
14,Choline Chloride,Glycerol,0.3,1.717,1.778,2.083,-1.805,1.157,2.963,False
15,Choline Chloride,Glycerol,0.35,2.533,2.036,2.385,-1.78,1.153,2.933,False
16,Choline Chloride,Glycerol,0.4,2.037,2.0,2.471,-1.838,1.152,2.99,False
17,Choline Chloride,Glycerol,0.45,2.377,2.193,2.602,-1.84,1.155,2.995,False
18,Choline Chloride,Glycerol,0.5,3.033,2.634,3.201,-1.841,1.157,2.997,False
19,Choline Chloride,Glycerol,0.55,3.147,2.708,3.211,-1.836,1.167,3.003,False
20,Choline Chloride,Glycerol,0.6,3.119,2.829,3.113,-1.83,1.181,3.012,False
21,Choline Chloride,Glycerol,0.7,,,,,,,True
22,Choline Chloride,Glycerol,0.8,,,,,,,True
23,Choline Chloride,Glycerol,0.9,,,,,,,True
24,Choline Chloride,Acetamide,0.1,,,,,,,True
25,Choline Chloride,Acetamide,0.2,,,,,,,True
26,Choline Chloride,Acetamide,0.3,3.395,3.412,3.604,-1.678,1.105,2.783,False
27,Choline Chloride,Acetamide,0.35,3.408,3.403,3.367,-1.678,1.11,2.787,False
28,Choline Chloride,Acetamide,0.4,3.485,3.414,3.222,-1.678,1.124,2.802,False
29,Choline Chloride,Acetamide,0.45,3.269,3.279,3.04,-1.137,1.135,2.272,False
30,Choline Chloride,Acetamide,0.5,3.674,3.287,3.115,-1.686,1.143,2.829,False
31,Choline Chloride,Acetamide,0.55,,,,,,,True
32,Choline Chloride,Acetamide,0.6,,,,,,,True
33,Choline Chloride,Acetamide,0.7,,,,,,,True
