id,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average,Hardness
0,100,0.841611,10,4.8,20.6125257,11.0881,2.766,1.732,0.86,0.49607,0.91457,6
1,100,7.558488,10,4.8,20.29889263,12.04083,2.755,1.631,0.91,0.492719,0.7176,6.5
2,76,8.885992,15.6,5.6,33.739258,12.0863,2.828,1.788,0.864,0.481478,1.50633,2.5
3,100,8.795296,10,4.8,20.21334878,10.9485,2.648,1.626,0.936,0.489272,0.78937,6
4,116,9.577996,11.6,4.8,24.98813314,11.82448,2.766,1.682,0.896,0.492736,1.86481,6
5,131,24.529328,21.83333333,4.666666667,50.1315,11.9482,2.858333333,1.758333333,0.896666667,0.466388333,2.94712,6
6,50,3.253996,10,4.8,20.077018,11.02384,2.727,1.767,0.88,0.49901,0.80631,2
7,30,2.70174775,6,4,11.663548,12.41584,2.766,1.495,0.71,0.6184925,0.41631,4
8,120,14.632,12,4.8,24.808518,11.33182,2.87,1.7185,0.91,0.492736,1.96268,6
9,97,13.477328,12.8125,5,24.98813314,11.037175,2.81875,1.60125,0.88125,0.4931925,1.10889,5.8
10,72,6.697992,8,4.6,16.862138,11.79886,2.648,1.626,0.912,0.498984,0.74322,6
11,136,8.109328,11,4.333333333,22.68885333,12.874275,2.146666667,1.713333333,0.92,0.499074167,0.75585,5.5
12,14,4.673996,14,4,31.5746356,9.8771,2.115,1.925,1.12,0.477665,1.8288,2
13,74,14.22,14,4,24.789618,9.8771,2.115,1.905,1.12,0.49897,1.3513,6
14,105,5.203996,10,4.8,20.3920334,11.46526,2.752,1.788,0.946,0.481478,0.81244,3.5
15,126,13.35,15.6,4.4,33.739258,10.73364,2.694,1.925,0.928,0.489272,1.96268,6
16,214,26.092,22.4,5.2,53.4902975,11.33044,2.828,1.74,0.96,0.47754,4.30067,2.5
17,80,3.7468275,10,4.5,20.99408622,11.100835,2.6,1.7095,0.85,0.491224,0.53898,5.5
18,50,8.505992,10,4.8,20.29889263,10.56518,2.703,1.698,0.88,0.496379,0.68424,5.5
19,112,15.232328,24.66666667,6,55.64164,11.23931667,2.736666667,1.728333333,0.968333333,0.477685,3.11002,4.5
20,105,8.42666,10,4.8,21.989468,10.56518,2.755,1.712,0.86,0.493032,0.59473,6
21,884,160.284,35.51724138,3.172413793,80.07104138,8.78617931,2.165238095,1.908571429,1.164137931,0.463504286,6.16352,2.5
22,0,0.755433333,0,0,0,0,0,0,0,0,0.80454,2.5
23,58,11.463996,19,4,39.568056,9.8771,2.455,1.88,1.14,0.476095,1.89676,4
24,126,12.56632,7.5625,3.71875,15.69310028,12.33182,2.6,1.52,0.711875,0.70831875,0.69605,3.8
25,208,17.05539975,9.454545455,4.454545455,18.96581266,11.28881818,2.764545455,1.66,0.871818182,0.498002818,0.8229,6
26,90,11.354575,18,4.8,39.98766667,12.63188,2.8355,1.576,0.728,0.556837333,2.74155,3.8
27,286,40.747992,42.8,5,102.82756,9.1302,2.182,1.93,1.29,0.447885,5.0988,3.3
28,100,15.55,50,4,117.386335,9.65936,2.24,2.0975,1.18,0.447885,7.316,2.5
29,50,3.253996,10,5,20.016938,12.18425,2.752,1.688,0.945,0.499726,0.68417,3.3
30,96,8.42666,12,4.75,24.50301875,11.1479375,2.705,1.765,0.945,0.49463625,1.76405,5
31,114,11.463996,18,4.4,40.689515,11.11696,2.738,1.742,0.928,0.474714,2.2928,6
32,112,13.044328,22,4.666666667,50.61352,11.63995,2.826666667,1.716666667,0.915,0.474726667,2.18789,5.8
33,82,19.382,31.1,4.8,74.718706,9.65936,2.02,1.904,1.184,0.448895,6.64,2.5
34,72,1.74316,8,4.8,16.862138,11.509916,2.825,1.626,0.828,0.4874375,0.67922,6
